I,f0,Ql,Qi,Qc,phi,delay,npoints
0.010000000000000026,5400078814.080785,153.07215376534282,500.3766764750518,220.53768538453625,0.08546115291539388,,901
0.020000000000000052,5409286885.970868,118.35157550257418,400.3602092509483,168.0206059778593,-0.286288212513285,,901
0.030000000000000075,5407052375.893361,117.4803771703571,386.4244022843565,168.79826390994594,-0.2637864312923019,,901
0.040000000000000105,5404476571.914936,122.47469306535857,407.8448511444369,175.03817952947983,-0.2402113598452062,,901
0.05000000000000013,5402996550.017559,120.07852387269313,395.6286716193143,172.40602945873118,-0.2406855345764764,,901
0.05999999999999994,5400647390.7715645,126.56542262833835,457.1590215676331,175.02010008272958,-0.2413565664632016,,901
0.06999999999999997,5398756468.137744,127.11134949763317,442.6057563077899,178.3239695071911,-0.23122632880723565,,901
0.07999999999999999,5395478172.118979,124.46625210999564,429.88478657906245,175.18959128533317,-0.2306046553583549,,901
0.09000000000000002,5392199648.850777,130.38077126940857,478.5836984617192,179.20042265452545,-0.24503688862943285,,901
0.10000000000000005,5387711535.369709,139.03748459370766,505.55862649188276,191.78047786833858,-0.23753718021962386,,901
0.11000000000000007,5385527370.261153,134.95921167173952,503.6451991580853,184.36165557593577,-0.25719853084803745,,901
0.12000000000000009,5380243109.72456,152.85831878472652,621.5918588424314,202.706822518461,-0.17261755344478033,,901
0.13000000000000014,5376909439.493409,148.57652319302852,597.3342490961111,197.76783950898658,-0.19199389304234132,,901
0.14000000000000015,5372675799.91402,151.95029492460588,588.5360194474671,204.83542339028867,-0.17601048770333527,,901
0.1500000000000002,5369458384.915114,150.39467281316772,587.7317055193325,202.11349815622202,-0.18218813420659746,,901
0.15999999999999998,5365758022.146998,145.45398704873733,547.15517364199,198.12214700066917,-0.19905985788063393,,901
0.17,5361952306.162288,127.67540770635163,430.69860374389094,181.4700014738984,-0.2692190968154179,,901
0.17999999999999983,5355061617.0810995,127.29660520319544,478.0415238659719,173.49663500843957,-0.22772952910616678,,901
0.18999999999999984,5348821858.761779,147.71863797973072,610.7537758581893,194.8442105800426,-0.18650640499876708,,901
0.19999999999999987,5342493907.705223,159.968439956102,648.5519763508274,212.3441339281457,-0.1898159268165161,,901
